carbohydrate side chain kinetic energy fatty acid,kinetic energy
acetaldehyde organic molecule DNA,nucleic acid
polysaccharide glycosidic linkage PEP carboxylase,kinetic energy
polypeptide peptide linkage asparagine,kinetic energy
animal cell peroxisome chloroplast,stroma
chlorophyll A kinetic energy polysaccharide,glycosidic linkage
mitochondrion aqueous solution sunlight,visible light
Catabolic pathway Chemical reaction antiporter,transport membrane protein
cytoplasmic protein kinase polymer monosaccharide,organic molecule
alpha tubulin peptide linkage glucose,kinetic energy
proton pump peptide linkage fat molecule,chemical energy
acetyl CoA ester linkage glucose,polar covalent bond
ER membrane saturated fatty acid hydrophilic substance,hydrophilic compound
Cellular respiration of fat Metabolism uncoupling protein,channel protein
protein enzyme polymer plastocyanin,organic molecule
maltose double bond amino acid,kinetic energy
polar amino acid amino acid cotransporter,transport membrane protein
fructose organic molecule acetaldehyde,molecule
Communication by direct contact Cell communication channel protein,transmembrane protein
PGAP carboxyl group pyruvate,carbonyl group
basic solution water phospholipid bilayer,phospholipid
cellulose kinetic energy PGAP,double bond
channel protein hydrophilic Channel storage polysaccharide,carbonyl group
protein enzyme protein hydrophobic compound,compound
stroma protein enzyme second electron-shell,first electron-shell
nitrogen atom valence electron buffer,base
C4-photosynthesis Photosynthesis light,electromagnetic energy
Transmission electron microscopy Electron microscopy serine,polar amino acid
leucine organic molecule actin,globular protein
glycoprotein amphipathic molecule saturated fatty acid,fatty acid
prokaryote cytoplasm acidic solution,acid
Anaerobic respiration Exergonic process membrane protein,polymer
alpha tubulin kinetic energy polypeptide,peptide linkage
ATP carbon skeleton 3 phosphoglycerate,phosphate group
sodium chloride solution aqueous solution Cell signaling with Ca2 plus and IP3 and GPCR,Cell signaling with plasma membrane receptor
boron atom atom alanine,hydrophobic amino acid
NADPH kinetic energy chlorophyll B,double bond
pentose carbonyl group endoplasmic reticulum,cisternal space
Communication by direct contact Cell communication P680,chlorophyll
leucine amino acid cytochrome,polymer
oxidoreductase covalent bond chlorophyll B,double bond
oxygen molecule nonpolar covalent bond glycogen,kinetic energy
P700 carbon skeleton pentose,carbon skeleton
mitochondrion cellular structure triose,carbohydrate
chitin double bond ATP synthase,peptide linkage
endomembranous system rough endoplasmic reticulum granum,thylakoid
extra cellular fluid solution oil,fat molecule
ethyl alcohol polar covalent bond carboxylic acid,kinetic energy
PEP carboxylase carbon skeleton amino acid,carboxyl group
sulfur atom atomic nucleus phospholipid,carbon skeleton
gradient potential energy MRNA,double bond
ice hydrogen-bond alcohol,kinetic energy
proton pump transport membrane protein sucrose,sugar
alanine hydrophobic amino acid tight junction,intercellular junction
alanine nonpolar covalent bond PGAP,double bond
photosystem II reaction-center complex photosystem I,light-harvesting complex
rubisco kinetic energy hexose,double bond
carbon 14 atom atom ion-channel,channel protein
nucleotide double bond chlorophyll B,kinetic energy
nonpolar molecule covalent bond ATP,double bond
ice hydrogen-bond alpha tubulin,kinetic energy
protein enzyme enzyme allosteric enzyme,protein enzyme
tubulin globular protein central vacuole,vacuole
integral protein carbon skeleton carboxylic acid,carbon skeleton
chlorophyll B carbon skeleton storage polysaccharide,carbonyl group
Substrate level phosphorylation Synthesis of ATP protein enzyme,enzyme
Glycolysis Anaerobic metabolism crista,cellular structure
tyrosine carboxyl group carbon atom,atomic nucleus
ribulose bisphosphate polar covalent bond chlorophyll B,kinetic energy
aquaporin hydrophilic Channel enzyme,active site
monosaccharide polar covalent bond atom,kinetic energy
integrin kinetic energy NADPH,kinetic energy
Cell communication with local regulator Cell communication ester linkage,polar covalent bond
motor protein carbon skeleton pentose,carbon skeleton
allosteric enzyme polymer antiporter,transmembrane protein
Citric acid cycle Exergonic reaction carrier protein,transmembrane protein
hydrophobic amino acid oxygen atom water molecule,hydrogen atom
plant cell-wall microfibril mitochondrion,aqueous solution
glucose-6-phosphate carbonyl group storage polysaccharide,hydroxyl group
chitin polysaccharide nucleoside,organic molecule
gated Channel hydrophobic amino acid polymer,monomer
nonpolar covalent bond chemical bond ultraviolet ray,light
chlorophyll A carbon skeleton ketone,carbonyl group
amino acid molecule Cellular respiration,Catabolic pathway
ecosystem algae amino acid sequence,amino acid
ketone organic molecule phospholipid,amphipathic molecule
membrane receptor molecule photosynthetic pigment,molecule
Reversible reaction Chemical reaction hexose,monosaccharide
3 phosphoglycerate double bond nonpolar molecule,covalent bond
ATP single bond phospholipid,kinetic energy
saturated fat organic molecule connexon,integral protein
atom proton mitochondrion,ribosome
storage polysaccharide monosaccharide smooth endoplasmic reticulum,aqueous solution
unsaturated fatty acid kinetic energy glycine,kinetic energy
unsaturated fat triglyceride water soluble protein,polymer
Synthesis of fatty acid Anabolic pathway deoxyribose,pentose
glyceraldehyde-3-phosphate triose connexon,channel protein
steroid lipid nonpolar molecule,molecule
amphipathic molecule kinetic energy carbohydrate,double bond
oxidoreductase molecule cotransporter,carrier protein
